Time,Vout,Vmos,Vpwm_out,Vsource,V9,Vsim
9.9999999999999995e-08,6.1891430328391208e-06,-0.01377657753704753,11.324114792158927,12,11.312725503478079,0
1.9999999999999999e-07,2.0701363092916699e-05,-0.014055830286142879,11.304422725300904,12,11.293037289339868,0
2.9999999999999999e-07,4.3469535012520655e-05,-0.014510541679394251,11.301140952438638,12,11.289756158550949,0
3.9999999999999998e-07,7.2443958561491207e-05,-0.01508967376588366,11.297821895063803,12,11.286437750544113,0
4.9999999999999998e-07,0.00010968683318335511,-0.015834694089177148,11.294504264079775,12,11.283120768649015,0
5.9999999999999997e-07,0.00015518825794811865,-0.016745542101427091,11.291187709355592,12,11.279804862803196,0
6.9999999999999997e-07,0.00020893821313075473,-0.017822155194691547,11.287872520032208,12,11.276490322091036,0
7.9999999999999996e-07,0.00027092656040111771,-0.019064467878516567,11.284558671655569,12,11.273177122063265,0
8.9999999999999996e-07,0.00034114304301585165,-0.020472412315962529,11.281246128752196,12,11.269865227253346,0
9.9999999999999995e-07,0.00041957728601109163,-0.022045918084083738,11.277935186035799,12,11.266554932317334,0
1.1000000000000001e-06,0.00050621879639863184,-0.02378491210886402,11.274625497962303,12,11.263245891778748,0
1.1999999999999999e-06,0.00060105696336143987,-0.025689319166035673,11.271317656134402,12,11.259938697124548,0
1.2999999999999998e-06,0.00070408105845394997,-0.027759060971646932,11.268011034534055,12,11.256632722459164,0
1.3999999999999997e-06,0.00081528023580045776,-0.029994057386053541,11.264706485217308,12,11.253328819671939,0
1.4999999999999996e-06,0.0009346435322994894,-0.032394224767331892,11.261403144384959,12,11.250026125132678,0
1.5999999999999995e-06,0.0010621598678252635,-0.034959478050225812,11.258102076223807,12,11.246725702819965,0
1.6999999999999994e-06,0.0011978180454359714,-0.037689728563313096,11.254802232392725,12,11.243426504597789,0
1.7999999999999993e-06,0.001341606751578297,-0.040584886408643328,11.251504831793019,12,11.240129749128972,0
1.8999999999999992e-06,0.0014935145562993966,-0.043644857672296311,11.248208702330265,12,11.236834264548413,0
1.9999999999999991e-06,0.0016535299134547302,-0.046869547370356202,11.244915154269897,12,11.233541360865189,0
2.099999999999999e-06,0.0018216411609236606,-0.050258856619093351,11.241622956822011,12,11.230249807530207,0
2.1999999999999988e-06,0.0019978365208206646,-0.053812685487015344,11.238333445688864,12,11.226960939984387,0
2.2999999999999987e-06,0.0021821040997142957,-0.057530930050182505,11.235045397322159,12,11.223673534918822,0
2.3999999999999986e-06,0.0023744318888419404,-0.061413485322930228,11.23176010773642,12,11.220388888094476,0
2.4999999999999985e-06,0.0025748077643320336,-0.065460242383911904,11.228476424114112,12,11.217105846919351,0
2.5999999999999984e-06,0.0027832194874225021,-0.069671091164432042,11.225195541693333,12,11.213825606397707,0
2.6999999999999983e-06,0.0029996547046860799,-0.074045917828996721,11.221916436328982,12,11.210547142584817,0
2.7999999999999982e-06,0.003224100948252504,-0.078584607351634972,11.218640148358949,12,11.207271495615021,0
2.8999999999999981e-06,0.0034565456360367321,-0.083287041001769424,11.215365831980764,12,11.203997819851335,0
2.999999999999998e-06,0.0036969760719650084,-0.088153098595860513,11.212094327961161,12,11.200726955896,0
3.0999999999999978e-06,0.0039453794462059781,-0.093182656392324148,11.208825008014552,12,11.197458275586348,0
3.1999999999999977e-06,0.0042017428354007283,-0.098375589179722667,11.205558480054988,12,11.194192386717495,0
3.2999999999999976e-06,0.0044660532028966398,-0.10373176859596533,11.20229436036337,12,11.190928905645411,0
3.3999999999999975e-06,0.0047382973989813166,-0.10925106418801889,11.199033003414687,12,11.187668186775738,0
3.4999999999999974e-06,0.0050184621611191983,-0.11493334266628175,11.195774284010204,12,11.184410104934235,0
3.5999999999999973e-06,0.0053065341141894738,-0.12077846864082353,11.19251829592355,12,11.181154753876182,0
3.6999999999999972e-06,0.0056024997707253676,-0.12678630406054658,11.18926517304982,12,11.177902267470479,0
3.7999999999999971e-06,0.0059063455311559486,-0.13295670831676532,11.186014754465855,12,11.174652484825451,0
3.8999999999999974e-06,0.0062180576840481739,-0.13928953863955407,11.182767420746808,12,11.171405786441793,0
3.9999999999999973e-06,0.006537622406352534,-0.14578464941825153,11.179522774824923,12,11.168161775329432,0
4.0999999999999972e-06,0.006865025763647851,-0.15244189300854849,11.17628141958547,12,11.164921054255686,0
4.1999999999999971e-06,0.0072002537103907239,-0.15926111865429426,11.17304275159132,12,11.161683019901492,0
4.2999999999999969e-06,0.0075432920901632085,-0.1662421739734512,11.169807561308126,12,11.158448462577841,0
4.3999999999999968e-06,0.0078941266359258671,-0.17338490339424872,11.166575078083765,12,11.155216611783397,0
4.4999999999999967e-06,0.008252742970268321,-0.18068914967108363,11.163346236939391,12,11.15198840235637,0
4.5999999999999966e-06,0.0086191266056658208,-0.18815475212859134,11.160120146286042,12,11.148762942882236,0
