Time,Vout,Vmos,Vpwm_out,Vsource,V9,Vsim,reference,Infeedback,Controlled,PwmOutControl,PwmSimControl
9.9999999999999995e-08,6.3766483578641871e-06,-0.013780285485553989,11.324004871710203,12,11.312615604535104,0,6,6,1.4227205999999999,0,0
1.9999999999999999e-07,2.1327863422750656e-05,-0.014068284966773703,11.304212136674289,12,11.29282674191456,0,6,5.9999936233516422,1.4234396879685036,0,0
2.9999999999999999e-07,4.4785596092604028e-05,-0.01453676391956904,11.300829981133393,12,11.289445248086716,0,6,5.9999786721365771,1.4241567419690568,0,0
3.9999999999999998e-07,7.4637434118901251e-05,-0.015133430356884858,11.297410473567227,12,11.286026409541462,0,6,5.999955214403907,1.424871777107664,0,0
4.9999999999999998e-07,0.00011300793550710224,-0.015901005001824231,11.293992467330854,12,11.282609072032269,0,6,5.9999253625658815,1.4255852932580961,0,0
5.9999999999999997e-07,0.0001598868056449367,-0.016839423518975494,11.290575611183302,12,11.279192884386882,0,6,5.9998869920644928,1.4262967858770139,0,0
6.9999999999999997e-07,0.00021526362367305926,-0.01794861958318883,11.287160201782394,12,11.275778143205089,0,6,5.9998401131943551,1.427006256382386,0,0
7.9999999999999996e-07,0.00027912784268948839,-0.019228523664795105,11.283746213254206,12,11.272364822618023,0,6,5.999784736376327,1.427713706223352,0,0
8.9999999999999996e-07,0.00035146878995622903,-0.020679063631552808,11.280333617820736,12,11.268952894853117,0,6,5.9997208721573108,1.4284191368801913,0,0
9.9999999999999995e-07,0.00043227566710687709,-0.022300164830669544,11.276922708701607,12,11.265542653072629,0,6,5.9996485312100436,1.4291225498642874,0,0
1.1000000000000001e-06,0.00052153755035782559,-0.024091749777495508,11.273513147991094,12,11.262133759436944,0,6,5.9995677243328931,1.4298239467180951,0,0
1.1999999999999999e-06,0.00061924339071892814,-0.026053738535214421,11.27010552595539,12,11.258726804096769,0,6,5.999478462449642,1.4305233290151049,0,0
1.2999999999999998e-06,0.00072538201420923795,-0.028186047951544779,11.266699223931733,12,11.255321168510379,0,6,5.9993807566092814,1.4312206983598081,0,0
