Time,Vout,Vmos,Vpwm_out,Vsource,V9,Vsim
9.9999999999999995e-08,6.3766483578641871e-06,-0.013780285485553989,11.324004871710203,12,11.312615604535104,0
1.9999999999999999e-07,2.1327863422750656e-05,-0.014068284966773703,11.304212136674289,12,11.29282674191456,0
2.9999999999999999e-07,4.4785596092604028e-05,-0.01453676391956904,11.300829981133393,12,11.289445248086716,0
3.9999999999999998e-07,7.4637434118901251e-05,-0.015133430356884858,11.297410473567227,12,11.286026409541462,0
4.9999999999999998e-07,0.00011300793550710224,-0.015901005001824231,11.293992467330854,12,11.282609072032269,0
5.9999999999999997e-07,0.0001598868056449367,-0.016839423518975494,11.290575611183302,12,11.279192884386882,0
6.9999999999999997e-07,0.00021526362367305926,-0.01794861958318883,11.287160201782394,12,11.275778143205089,0
7.9999999999999996e-07,0.00027912784268948839,-0.019228523664795105,11.283746213254206,12,11.272364822618023,0
8.9999999999999996e-07,0.00035146878995622903,-0.020679063631552808,11.280333617820736,12,11.268952894853117,0
9.9999999999999995e-07,0.00043227566710687709,-0.022300164830669544,11.276922708701607,12,11.265542653072629,0
1.1000000000000001e-06,0.00052153755035782559,-0.024091749777495508,11.273513147991094,12,11.262133759436944,0
1.1999999999999999e-06,0.00061924339071892814,-0.026053738535214421,11.27010552595539,12,11.258726804096769,0
1.2999999999999998e-06,0.00072538201420923795,-0.028186047951544779,11.266699223931733,12,11.255321168510379,0
1.3999999999999997e-06,0.00083994212207093267,-0.030488592965815187,11.26329509301326,12,11.251917703604406,0
1.4999999999999996e-06,0.00096291229098942473,-0.032961284987312212,11.259892276268136,12,11.248515552614663,0
1.5999999999999995e-06,0.0010942809733105623,-0.035604033720586514,11.256491837484203,12,11.245115779120869,0
1.6999999999999994e-06,0.001234036497265005,-0.038416744941221381,11.253092734525287,12,11.241717341190736,0
1.7999999999999993e-06,0.0013821670671889258,-0.041399323134520216,11.249696186613129,12,11.238321457807473,0
1.8999999999999992e-06,0.0015386607637524565,-0.044551668791635635,11.246301027059625,12,11.23492696251123,0
1.9999999999999991e-06,0.0017035055441839287,-0.047873681039773075,11.242908567284458,12,11.231535166465125,0
2.099999999999999e-06,0.0018766892425022392,-0.051365254916715841,11.239517581013031,12,11.228144843634468,0
2.1999999999999988e-06,0.0020581995697448435,-0.055026284340227605,11.236129406004137,12,11.224757331516324,0
2.2999999999999987e-06,0.0022480241142038013,-0.058856659128247557,11.232742822288452,12,11.221371410380053,0
2.3999999999999986e-06,0.0024461503416575796,-0.06285626784516829,11.229359128860201,12,11.217988378965739,0
2.4999999999999985e-06,0.0026525655956106771,-0.067024994843338348,11.225977175546975,12,11.214607087326,0
2.5999999999999984e-06,0.0028672570975295051,-0.071362723278321383,11.222598161463134,12,11.21122873434059,0
2.6999999999999983e-06,0.0030902119470854277,-0.075869332459889804,11.219221064223577,12,11.207852297824434,0
2.7999999999999982e-06,0.0033214171223946883,-0.080544700131385483,11.215846928868077,12,11.204478822612851,0
2.8999999999999981e-06,0.0035608594802647086,-0.085388700320658373,11.212474910559871,12,11.201107464034365,0
2.999999999999998e-06,0.0038085257564382121,-0.090401205571911447,11.209105855482708,12,11.197739068107168,0
3.0999999999999978e-06,0.0040644025658426305,-0.095582084642559906,11.205739135649823,12,11.194373006967366,0
3.1999999999999977e-06,0.0043284764028385042,-0.10093120463122141,11.202375364964125,12,11.191009894397752,0
3.2999999999999976e-06,0.0046007336414719841,-0.10644842922219411,11.199014159494521,12,11.187649346542353,0
3.3999999999999975e-06,0.0048811605357274926,-0.11213362009430661,11.19565588010874,12,11.184291724198292,0
3.4999999999999974e-06,0.0051697432197832481,-0.1179866358444972,11.192300401061582,12,11.180936901644976,0
3.5999999999999973e-06,0.0054664677082682245,-0.12400733262035679,11.188947822739982,12,11.177584979249696,0
3.6999999999999972e-06,0.0057713198965207123,-0.13019556399320287,11.185598278344861,12,11.174236090187309,0
3.7999999999999971e-06,0.0060842855608495023,-0.13655118080694173,11.182251613597851,12,11.170890080209634,0
3.8999999999999974e-06,0.0064053503587954289,-0.14307403148862541,11.178908208420156,12,11.167547329163547,0
3.9999999999999973e-06,0.0067344998293967255,-0.14976396160989758,11.175567672234939,12,11.164207446548627,0
4.0999999999999972e-06,0.0070717193934536193,-0.15662081447737286,11.172230607493129,12,11.160871034697928,0
4.1999999999999971e-06,0.0074169943537977737,-0.16364443019104336,11.168896416922353,12,11.157537496455939,0
4.2999999999999969e-06,0.0077703098955600449,-0.17083464711945062,11.165565890935655,12,11.154207622081056,0
